CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LATracts1,LATracts10,LAPOP1_10,LALOWI1_10,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
41017001700,Oregon,Deschutes County,1,7550,3080,0,65,0.86,0,1,0,11.3,73056,1,1,0,5714,1771,5714,75.68,1771,23.46,1458,19.31,666,8.82,5308,70.30,26,0.34,52,0.68,7,0.09,66,0.87,256,3.39,439,5.81,109,3.53,295,9.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2713,1899,850,6991,38,67,8,85,361,621,177,450
41017001800,Oregon,Deschutes County,1,7637,3529,0,133,1.74,0,1,1,8.9,49679,0,0,0,358,82,358,4.69,82,1.08,65,0.86,72,0.95,338,4.42,3,0.04,3,0.04,1,0.01,1,0.01,13,0.17,11,0.14,0,0.00,29,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3617,1561,1539,6764,42,99,13,71,648,896,412,783
41017001901,Oregon,Deschutes County,0,1642,650,0,0,0.00,0,0,0,4.8,88667,0,0,0,NA,NA,1640,99.87,291,17.73,319,19.42,324,19.74,1555,94.70,5,0.30,17,1.03,0,0.00,9,0.55,54,3.29,38,2.31,0,0.00,16,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,319,325,1557,5,17,0,9,54,38,0,17
41017001902,Oregon,Deschutes County,1,8205,3308,0,25,0.30,0,0,0,8.2,80031,1,1,0,3544,470,3544,43.19,470,5.73,840,10.24,478,5.83,3244,39.54,10,0.12,24,0.29,2,0.02,28,0.34,236,2.88,330,4.02,5,0.15,125,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2049,1252,7500,34,111,8,72,480,707,139,379
41017002000,Oregon,Deschutes County,1,7002,2824,0,7,0.10,0,0,0,14.3,65853,1,1,0,2633,698,2633,37.60,698,9.97,611,8.73,419,5.98,2426,34.65,13,0.18,28,0.40,0,0.00,19,0.26,148,2.11,282,4.03,14,0.50,93,3.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2708,1678,1015,6401,28,87,5,66,415,692,66,283
41017002100,Oregon,Deschutes County,1,11149,4284,0,8,0.07,0,1,0,12.3,79458,1,1,0,746,132,746,6.69,132,1.18,216,1.94,95,0.85,698,6.26,11,0.10,6,0.06,1,0.01,1,0.01,28,0.25,36,0.32,23,0.54,37,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2431,2980,1290,10039,71,157,19,96,767,945,152,644
41019010000,Oregon,Douglas County,0,2319,1133,0,0,0.00,0,0,1,17.3,46328,0,0,0,401,165,929,40.08,386,16.64,156,6.73,260,11.21,864,37.27,3,0.11,7,0.28,1,0.04,21,0.93,33,1.44,27,1.18,2,0.15,112,9.91,401,17.31,165,7.11,53,2.28,127,5.50,380,16.37,0,0.00,1,0.05,1,0.04,8,0.34,12,0.51,9,0.39,0,0.00,49,4.31,1059,390,677,2168,8,16,5,35,87,87,48,275
41019020000,Oregon,Douglas County,0,3708,1704,0,56,1.51,0,1,0,18.8,58571,0,0,0,117,42,1695,45.70,668,18.02,250,6.75,563,15.18,1574,42.44,0,0.00,23,0.63,0,0.00,23,0.63,74,1.99,82,2.22,90,5.28,135,7.94,117,3.16,42,1.15,17,0.47,32,0.86,108,2.92,0,0.00,0,0.00,0,0.00,1,0.03,8,0.22,3,0.08,2,0.14,10,0.57,1337,630,1033,3443,7,45,0,43,170,192,145,243
41019030000,Oregon,Douglas County,0,3970,1664,0,0,0.00,0,0,1,13.6,54299,0,0,0,79,32,2355,59.32,944,23.79,392,9.87,602,15.15,2188,55.12,10,0.25,4,0.10,1,0.03,54,1.36,98,2.46,63,1.58,18,1.10,159,9.56,79,1.99,32,0.80,6,0.14,26,0.65,76,1.92,0,0.00,0,0.00,0,0.00,2,0.04,1,0.03,2,0.05,1,0.06,7,0.42,1423,785,899,3679,12,7,1,89,182,153,22,251
41019040000,Oregon,Douglas County,0,2718,1142,0,0,0.00,0,0,1,15.1,54028,0,0,0,68,19,2718,100.00,980,36.04,500,18.40,611,22.48,2502,92.05,4,0.15,22,0.81,4,0.15,54,1.99,132,4.86,123,4.53,39,3.43,286,25.02,68,2.51,19,0.71,7,0.26,18,0.66,67,2.45,0,0.00,0,0.00,0,0.00,1,0.04,0,0.02,1,0.04,1,0.08,8,0.66,914,500,611,2502,4,22,4,54,132,123,40,285
41019050001,Oregon,Douglas County,0,4560,1862,0,3,0.07,0,0,1,14.4,55329,0,0,0,97,33,4302,94.35,1375,30.16,869,19.07,948,20.78,4056,88.96,10,0.22,19,0.41,2,0.04,54,1.18,161,3.54,158,3.47,25,1.36,390,20.95,97,2.13,33,0.73,13,0.28,24,0.52,92,2.01,4,0.09,0,0.00,0,0.00,0,0.01,1,0.02,1,0.02,0,0.00,9,0.48,1433,930,992,4304,10,21,2,61,162,160,28,415
41019050002,Oregon,Douglas County,1,6865,2848,0,91,1.33,1,1,1,20.4,46223,1,1,0,2044,1122,2044,29.78,1122,16.35,485,7.06,309,4.51,1848,26.93,4,0.05,18,0.26,1,0.01,60,0.88,113,1.64,151,2.20,94,3.31,206,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3073,1524,1622,6347,16,38,7,143,314,427,261,742
41019060000,Oregon,Douglas County,0,3558,1430,0,27,0.76,0,0,0,7.3,73083,0,0,0,395,114,3558,100.00,937,26.34,608,17.09,843,23.69,3358,94.38,4,0.11,28,0.79,2,0.06,37,1.04,129,3.63,140,3.93,38,2.63,117,8.17,395,11.10,114,3.21,44,1.24,117,3.28,365,10.26,1,0.03,2,0.06,1,0.03,1,0.03,25,0.70,13,0.38,4,0.26,14,0.98,970,608,843,3358,4,28,2,37,129,140,39,120
41019070000,Oregon,Douglas County,0,5237,2044,0,34,0.65,0,0,0,5.7,65582,0,0,0,177,47,5067,96.75,1289,24.62,910,17.37,1134,21.65,4830,92.23,9,0.17,30,0.57,0,0.00,57,1.08,142,2.71,175,3.34,85,4.14,143,6.99,177,3.38,47,0.90,31,0.59,38,0.72,170,3.25,0,0.00,0,0.00,0,0.00,2,0.03,5,0.09,7,0.14,5,0.27,5,0.25,1214,952,1167,4991,9,35,0,58,144,182,82,139
41019080000,Oregon,Douglas County,1,7347,3192,0,260,3.54,0,1,0,5.5,85203,1,1,0,1717,487,1717,23.37,487,6.63,304,4.14,500,6.81,1612,21.95,6,0.08,17,0.24,1,0.01,16,0.21,65,0.89,54,0.73,75,2.36,65,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863,1350,2242,6779,20,179,15,65,289,282,284,324
41019090000,Oregon,Douglas County,0,5703,2530,0,8,0.14,0,1,1,21.1,62910,0,0,0,NA,NA,4847,84.99,2073,36.35,949,16.64,1155,20.26,4489,78.71,20,0.34,69,1.22,2,0.04,72,1.26,195,3.42,213,3.74,93,3.66,513,20.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2916,1103,1403,5284,25,76,2,85,231,279,135,679
41019100000,Oregon,Douglas County,0,3229,1301,0,238,7.37,1,0,1,18.7,55417,1,0,1,3064,1273,3229,100.00,1337,41.42,577,17.87,569,17.62,3015,93.37,18,0.56,11,0.34,5,0.15,72,2.23,108,3.34,129,4.00,36,2.80,213,16.36,3064,94.88,1273,39.42,556,17.23,517,16.02,2851,88.28,18,0.56,11,0.34,5,0.15,72,2.22,107,3.32,124,3.83,34,2.62,201,15.43,1184,577,569,3015,18,11,5,72,108,129,39,193
41019110000,Oregon,Douglas County,0,2773,1143,0,0,0.00,0,0,0,11.2,65132,0,0,0,491,122,2772,99.98,636,22.94,418,15.07,598,21.55,2629,94.82,1,0.04,19,0.68,2,0.07,42,1.51,79,2.85,81,2.92,25,2.19,150,13.12,491,17.72,122,4.40,69,2.50,103,3.73,473,17.08,0,0.00,1,0.02,1,0.04,3,0.13,13,0.45,16,0.59,5,0.40,28,2.41,678,418,598,2630,1,19,2,42,79,81,27,157
41019120000,Oregon,Douglas County,1,7666,3303,0,187,2.44,1,1,1,17.5,46646,1,1,0,1764,760,1764,23.02,760,9.92,487,6.35,203,2.65,1592,20.77,6,0.08,33,0.43,13,0.16,39,0.51,81,1.06,116,1.51,88,2.65,207,6.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600,1876,1078,6945,31,85,17,149,439,488,515,1022
41019130000,Oregon,Douglas County,1,5640,2281,0,412,7.30,1,1,1,20.1,48722,1,1,0,3202,1613,3202,56.77,1613,28.60,655,11.62,496,8.80,2972,52.69,13,0.23,30,0.54,6,0.10,62,1.09,120,2.12,157,2.79,118,5.17,312,13.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2599,1163,771,5157,30,59,18,121,255,308,283,588
41019140000,Oregon,Douglas County,1,5139,2232,0,176,3.42,0,1,0,12.8,74167,1,1,0,2615,923,2615,50.88,923,17.96,533,10.36,519,10.09,2409,46.87,22,0.44,27,0.52,4,0.08,55,1.07,98,1.90,138,2.68,77,3.44,197,8.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2109,1076,1008,4675,37,59,9,101,258,299,256,423
41019150000,Oregon,Douglas County,1,7282,2679,0,29,0.40,1,0,1,14.8,51175,1,1,0,1295,516,1295,17.78,516,7.09,267,3.66,306,4.20,1227,16.85,3,0.04,9,0.12,1,0.01,18,0.25,37,0.51,60,0.83,10,0.37,140,5.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3102,1873,1029,6792,18,62,3,131,276,432,168,751
41019160000,Oregon,Douglas County,1,7451,3003,0,44,0.59,1,0,1,20.4,44035,1,1,0,1578,773,1578,21.18,773,10.37,286,3.84,367,4.92,1474,19.78,4,0.05,19,0.25,1,0.01,19,0.25,61,0.82,52,0.69,27,0.88,188,6.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3967,1678,1423,6902,18,65,6,128,332,317,187,970
41019170000,Oregon,Douglas County,0,3791,1512,0,10,0.26,0,0,0,15.9,60982,1,0,1,1082,312,3791,100.00,1155,30.46,723,19.07,798,21.05,3499,92.30,10,0.26,24,0.63,7,0.18,79,2.08,172,4.54,101,2.66,23,1.51,261,17.29,1082,28.54,312,8.24,244,6.45,207,5.47,971,25.61,1,0.03,4,0.12,5,0.13,34,0.89,67,1.76,18,0.48,9,0.59,72,4.77,1090,723,798,3499,10,24,7,79,172,101,21,237
41019180000,Oregon,Douglas County,0,4699,1850,0,11,0.23,0,0,1,17.6,57500,0,0,0,129,67,3118,66.36,1277,27.18,679,14.45,638,13.58,2837,60.37,6,0.12,21,0.44,3,0.06,76,1.61,176,3.75,118,2.50,2,0.13,233,12.57,129,2.75,67,1.42,21,0.45,45,0.95,119,2.53,0,0.00,1,0.02,1,0.01,2,0.03,8,0.16,8,0.16,0,0.00,10,0.57,1674,1029,868,4286,9,38,4,109,253,177,37,311
41019190000,Oregon,Douglas County,1,4504,1790,0,31,0.69,1,0,1,22.1,49028,1,1,0,1607,694,1607,35.68,694,15.41,339,7.53,331,7.35,1483,32.93,2,0.04,16,0.35,1,0.02,43,0.96,62,1.38,75,1.67,36,2.02,153,8.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,990,903,4116,5,30,6,135,212,199,97,454
41019200000,Oregon,Douglas County,0,5041,2065,0,76,1.51,0,1,1,24.3,47113,0,0,0,NA,NA,2914,57.81,1371,27.20,584,11.58,523,10.37,2658,52.72,8,0.16,15,0.31,3,0.06,68,1.35,162,3.21,117,2.31,90,4.36,293,14.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2566,1068,1060,4494,17,103,4,132,291,240,207,498
41019210000,Oregon,Douglas County,0,4467,1873,0,15,0.34,1,0,1,19.5,48973,1,0,1,3022,1315,4446,99.53,1967,44.03,848,18.98,971,21.73,4086,91.48,8,0.18,18,0.40,3,0.07,84,1.88,247,5.53,259,5.80,99,5.28,437,23.33,3022,67.66,1315,29.44,625,13.99,641,14.35,2756,61.71,7,0.16,12,0.27,3,0.07,62,1.40,181,4.06,194,4.34,53,2.83,293,15.62,1860,851,976,4105,8,18,3,84,249,259,105,457
41021960100,Oregon,Gilliam County,0,1871,864,0,20,1.07,1,0,1,10.7,52917,1,0,1,1022,389,1184,63.28,448,23.93,252,13.47,198,10.60,1114,59.54,2,0.11,2,0.11,13,0.69,13,0.69,40,2.15,73,3.91,34,3.96,84,9.72,1022,54.60,389,20.81,218,11.65,168,8.97,959,51.28,2,0.11,2,0.08,13,0.69,12,0.64,34,1.80,63,3.35,29,3.38,73,8.43,716,353,415,1781,3,3,13,19,52,88,52,141
41023960100,Oregon,Grant County,0,2157,963,0,33,1.53,1,0,1,18.9,57833,1,0,1,2037,798,2157,100.00,836,38.77,404,18.73,552,25.59,2038,94.48,2,0.09,6,0.28,3,0.14,26,1.21,82,3.80,59,2.74,16,1.64,121,12.58,2037,94.45,798,37.01,385,17.87,511,23.69,1918,88.93,2,0.09,6,0.28,3,0.14,26,1.21,82,3.80,58,2.69,16,1.64,114,11.87,671,404,552,2038,2,6,3,26,82,59,14,102
41023960200,Oregon,Grant County,0,5288,2389,0,72,1.36,1,0,1,13.2,57832,1,0,1,926,282,3581,67.71,1355,25.62,654,12.38,812,15.36,3422,64.71,4,0.08,6,0.11,4,0.08,41,0.77,104,1.97,105,1.99,67,2.79,327,13.67,926,17.52,282,5.34,158,2.99,222,4.19,886,16.76,2,0.04,0,0.00,0,0.00,10,0.19,28,0.54,43,0.81,7,0.27,85,3.56,2060,1026,1208,5032,12,18,5,65,156,148,141,504
41025960100,Oregon,Harney County,1,5281,2336,0,127,2.40,1,0,1,19.1,47548,1,1,0,1416,500,1416,26.81,500,9.48,317,6.01,250,4.74,1213,22.97,2,0.05,3,0.06,0,0.00,128,2.43,69,1.31,56,1.05,26,1.12,153,6.57,77,1.47,30,0.57,19,0.36,10,0.19,68,1.30,0,0.00,0,0.00,0,0.00,0,0.00,9,0.17,8,0.15,2,0.09,8,0.35,2199,1159,1016,4800,13,28,1,211,228,219,111,617
41025960200,Oregon,Harney County,0,2141,869,0,0,0.00,0,0,0,10.3,63466,1,0,1,1411,431,2139,99.91,655,30.59,505,23.57,385,17.98,2017,94.22,6,0.28,7,0.33,0,0.00,21,0.98,88,4.10,75,3.50,24,2.73,65,7.48,1411,65.93,431,20.11,343,16.01,255,11.90,1343,62.72,3,0.14,7,0.31,0,0.00,16,0.74,43,2.01,38,1.77,17,2.01,43,5.00,608,505,386,2019,6,7,0,21,88,75,22,62
41027950100,Oregon,Hood River County,0,4223,1434,0,396,9.38,0,0,0,15.0,68792,0,0,0,1,0,3625,85.85,1622,38.41,869,20.58,435,10.31,2917,69.08,18,0.42,42,0.99,14,0.33,48,1.14,587,13.89,919,21.76,23,1.59,168,11.74,1,0.02,0,0.01,0,0.00,1,0.01,1,0.02,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,1907,1056,478,3275,20,54,14,66,794,1222,25,183
41027950200,Oregon,Hood River County,1,6644,2549,0,91,1.37,0,0,0,7.2,78955,1,1,0,3351,467,3351,50.44,467,7.02,840,12.64,445,6.70,2936,44.19,6,0.10,72,1.08,4,0.06,14,0.21,320,4.81,538,8.09,12,0.45,105,4.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1289,1637,1022,5869,21,130,7,30,587,1008,71,241
41027950300,Oregon,Hood River County,1,5812,2377,0,54,0.93,0,0,0,13.5,74652,0,0,0,1,0,1,0.02,0,0.00,0,0.00,1,0.01,1,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1843,1538,690,5057,34,79,4,39,599,1546,279,293
41027950400,Oregon,Hood River County,0,5667,1813,0,246,4.34,0,0,0,6.0,64286,0,0,0,NA,NA,3274,57.77,1128,19.90,828,14.62,385,6.80,2600,45.89,15,0.26,42,0.73,9,0.16,24,0.42,584,10.31,1369,24.15,78,4.28,139,7.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1867,1576,617,4367,26,51,12,46,1165,2813,100,224
41029000100,Oregon,Jackson County,1,1782,784,0,151,8.47,0,1,1,49.5,26075,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1529,395,124,1300,32,24,20,58,348,455,296,510
41029000201,Oregon,Jackson County,1,3686,1328,0,288,7.81,0,1,1,36.9,32763,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2530,927,242,2820,63,20,14,76,693,1034,169,555
41029000202,Oregon,Jackson County,1,3670,1352,0,51,1.39,0,0,1,26.7,43533,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,1017,226,2785,57,15,19,71,723,994,136,560
41029000203,Oregon,Jackson County,1,3956,1448,0,24,0.61,0,0,1,16.6,47481,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975,1103,343,3202,30,20,6,61,637,834,64,551
41029000300,Oregon,Jackson County,1,5603,2223,0,126,2.25,1,1,1,20.8,41841,1,1,0,1187,548,1187,21.19,548,9.78,341,6.08,138,2.46,998,17.82,7,0.12,13,0.23,2,0.04,11,0.19,156,2.79,213,3.80,34,1.54,179,8.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3426,1512,702,4569,73,64,20,75,802,1205,263,987
41029000403,Oregon,Jackson County,1,3645,1521,0,20,0.55,0,0,0,8.8,81192,1,1,0,2346,510,2346,64.37,510,13.99,512,14.04,516,14.16,2171,59.57,8,0.23,45,1.23,6,0.18,14,0.37,102,2.79,126,3.47,36,2.38,90,5.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885,757,763,3380,13,66,10,29,147,178,67,149
41029000404,Oregon,Jackson County,1,4614,1719,0,27,0.59,0,0,0,5.2,85214,1,1,0,3154,707,3154,68.36,707,15.33,742,16.09,609,13.20,2911,63.10,12,0.26,96,2.08,7,0.15,10,0.22,118,2.55,172,3.73,29,1.71,68,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105,1090,847,4256,16,133,9,29,171,266,38,101
41029000405,Oregon,Jackson County,1,4016,1651,0,136,3.39,0,0,1,26.7,48148,0,0,0,343,170,343,8.55,170,4.24,92,2.30,57,1.41,325,8.08,2,0.05,2,0.06,1,0.02,0,0.01,13,0.34,34,0.83,6,0.39,45,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,941,664,3506,28,57,40,48,337,442,150,619
41029000406,Oregon,Jackson County,1,4536,1917,0,45,0.99,0,0,0,16.8,74132,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1824,1066,841,3972,29,78,67,47,343,506,294,365
41029000501,Oregon,Jackson County,1,2872,1323,0,15,0.52,0,0,1,27.3,44313,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1479,628,376,2492,29,29,8,40,274,378,88,346
41029000502,Oregon,Jackson County,1,5264,2341,0,242,4.60,0,0,1,33.5,32443,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3519,1248,961,4545,63,82,28,80,466,684,376,928
41029000601,Oregon,Jackson County,1,6790,2660,0,121,1.78,0,1,0,5.6,94482,1,1,0,1405,176,1405,20.69,176,2.59,323,4.76,253,3.72,1286,18.94,7,0.10,35,0.51,0,0.01,16,0.24,60,0.89,56,0.83,16,0.61,25,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1025,1570,1415,6180,37,152,26,68,327,411,159,130
41029000602,Oregon,Jackson County,1,5596,2744,0,136,2.43,0,1,0,17.5,64398,1,1,0,790,100,790,14.12,100,1.79,47,0.84,595,10.63,753,13.46,4,0.08,11,0.20,1,0.02,6,0.11,15,0.27,8,0.14,53,1.92,70,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2099,897,2349,5017,56,112,19,47,345,466,417,462
41029000700,Oregon,Jackson County,1,9399,3526,0,41,0.44,1,0,1,12.3,55663,1,1,0,2027,574,2027,21.56,574,6.10,452,4.81,375,3.99,1822,19.38,7,0.08,23,0.24,10,0.11,8,0.09,156,1.66,187,1.99,3,0.08,115,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3550,2385,1316,8241,45,115,24,81,893,1163,32,537
41029000800,Oregon,Jackson County,1,5647,2251,0,27,0.48,1,0,1,19.1,53977,1,1,0,917,372,917,16.24,372,6.59,182,3.22,226,4.00,856,15.16,2,0.04,7,0.12,0,0.01,10,0.18,41,0.73,58,1.02,34,1.50,89,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2629,1300,923,4886,51,46,10,82,572,824,146,593
41029000900,Oregon,Jackson County,1,8171,3074,0,26,0.32,0,1,0,18.2,67500,1,1,0,1595,269,1595,19.53,269,3.30,291,3.56,381,4.66,1461,17.88,4,0.05,14,0.17,1,0.01,26,0.32,89,1.09,105,1.29,34,1.12,94,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3557,2062,1269,7473,32,84,19,81,482,736,208,508
41029001001,Oregon,Jackson County,1,6476,2559,0,34,0.53,0,0,0,13.0,65046,1,1,0,1208,383,1208,18.66,383,5.91,326,5.03,134,2.06,1073,16.57,3,0.05,12,0.19,14,0.22,17,0.26,88,1.37,137,2.12,19,0.74,57,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2315,1630,1119,5845,28,64,34,61,444,629,228,345
41029001002,Oregon,Jackson County,1,4231,1571,0,8,0.19,1,0,1,19.0,50347,1,1,0,931,367,931,22.00,367,8.68,247,5.83,166,3.92,852,20.13,0,0.00,4,0.10,3,0.08,3,0.08,68,1.62,63,1.49,10,0.66,91,5.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,1169,536,3725,18,38,17,65,368,469,107,463
